0,17,REDES,LUIS LOAIZA,V 6:30PM - 9:30PM,G2,200000, IV
0,18,BASE DE DATOS,GABRIEL ALCAZAR,K 6:30PM - 9:30PM,G1,200000, IV
0,18,BASE DE DATOS,LUIS BOLANOS,S 2:00PM - 5:00PM,G2,200000, IV
0,19,INGENIERIA ECONOMICA ,RICARDO MACHADO ,M 11:00AM - 2:00PM,G1,120000, IV
0,19,INGENIERIA ECONOMICA ,RICARDO MACHADO ,M 2:00PM - 5:00PM,G2,120000, IV
0,19,INGENIERIA ECONOMICA ,RICARDO MACHADO ,V 6:30PM - 9:30PM ,G3,120000, IV
0,19,INGENIERIA ECONOMICA ,RICARDO MACHADO ,S 11:00AM - 2:00PM,G4,120000, IV
0,19,INGENIERIA ECONOMICA ,RICARDO MACHADO ,S 2:00PM - 5:00PM,G5,120000, IV
0,20,INGLES IV,CAROL PICADO ,K Y J 8:00AM - 11:00AM,G1,120000, IV
0,20,INGLES IV,ELSA MULLER,L Y M 8:00AM - 11:00AM,G2,120000, IV
0,20,INGLES IV,GINA GATGENS,K Y J 2:00PM - 5:00AM,G3,120000, IV
0,20,INGLES IV,MELISSA CALVO,L Y M 6:30PM - 9:30PM,G4,120000, IV
0,20,INGLES IV,MELISSA CALVO,K Y J 6:30PM - 9:30PM,G5,120000, IV
0,20,INGLES IV,MELISSA CALVO,L Y M 2:00PM - 5:00PM,G6,120000, IV
0,21,DESARROLLO DE APLICACIONES WEB,ERICK FRANCISCO MUNOZ,J 6:30PM - 9:30PM,G1,200000, V
0,21,DESARROLLO DE APLICACIONES WEB,JOSE ZUNIGA,S 8:00AM - 11:00AM,G2,200000, V
0,22,ELECTIVA DE TELEMATICA (ENRUTAMIENTO Y CONMUTACION) ,CARLOS HERNANDEZ ,M 6:30PM - 9:30PM,G1,200000, V
0,22,ELECTIVA DE TELEMATICA (ENRUTAMIENTO Y CONMUTACION) ,CARLOS HERNANDEZ ,L 6:30PM - 9:30PM ,G2,200000, V
0,23,ANALISIS  DISE�O E IMPLEMENTACION DE SISTEMAS,JUAN VIQUEZ ,L 6:30PM - 9:30PM ,G1,200000, V
0,23,ANALISIS  DISE�O E IMPLEMENTACION DE SISTEMAS,MARCO CARVAJAL ,K 6:30PM - 9:30PM,G2,200000, V
0,24,LENGUAJE DE CONSULTA DE BASE DE DATOS,GABRIEL ALCAZAR ,V 6:30PM - 9:30PM ,G1,200000, V
